Info 0    [00:27:55.523] Starting TS Server
Info 1    [00:27:55.526] Version: 4.5.4
Info 2    [00:27:55.526] Arguments: /usr/bin/node /home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/chris/WebDev/sites/webdev-profile/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/256c17ba3e1fe94914b21c546784ca1a/tscancellation*
Info 3    [00:27:55.527] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [00:27:55.527] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [00:27:55.546] Format host information updated
Info 6    [00:27:55.549] Search path: /home/chris/WebDev/sites/webdev-profile/src/pages
Info 7    [00:27:55.550] For info: /home/chris/WebDev/sites/webdev-profile/src/pages/index.js :: No config files found.
Info 8    [00:27:55.556] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [00:27:58.907] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 3349.702293999959ms
Info 10   [00:27:58.909] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [00:27:58.909] 	Files (200)

Info 12   [00:27:58.909] -----------------------------------------------
Info 13   [00:27:58.940] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 14   [00:28:00.768] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1828.1125099998899ms
Info 15   [00:28:00.768] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 16   [00:28:00.768] 	Files (394)

Info 17   [00:28:00.769] -----------------------------------------------
Info 18   [00:28:16.032] Search path: /home/chris/WebDev/sites/webdev-profile
Info 19   [00:28:16.032] For info: /home/chris/WebDev/sites/webdev-profile/gatsby-config.js :: No config files found.
Info 20   [00:28:16.033] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 21   [00:28:16.228] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 194.63730200007558ms
Info 22   [00:28:16.228] Project '/dev/null/inferredProject2*' (Inferred)
Info 23   [00:28:16.228] 	Files (200)

Info 24   [00:28:16.228] -----------------------------------------------
Info 25   [00:28:16.236] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 26   [00:28:16.427] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 190.65517399972305ms
Info 27   [00:28:16.427] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 28   [00:28:16.427] 	Files (394)

Info 29   [00:28:16.427] -----------------------------------------------
Info 30   [00:28:16.442] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 31   [00:28:16.499] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 56.00016399985179ms
Info 32   [00:28:16.499] Different program with same set of files
Info 33   [00:28:33.232] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 34   [00:28:33.348] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 116.53061500005424ms
Info 35   [00:28:33.348] Different program with same set of files
Info 36   [00:28:33.857] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 37   [00:28:33.909] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 51.532300000078976ms
Info 38   [00:28:33.909] Different program with same set of files
Info 39   [00:28:45.700] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 40   [00:28:45.779] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 79.02132900012657ms
Info 41   [00:28:45.779] Different program with same set of files
Info 42   [00:28:46.142] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 43   [00:28:46.234] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 92.07186499983072ms
Info 44   [00:28:46.234] Different program with same set of files
Info 45   [00:28:46.235] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 46   [00:28:46.296] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 60.809024000074714ms
Info 47   [00:28:46.296] Different program with same set of files
Info 48   [00:28:46.925] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 49   [00:28:46.991] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 66.37108199996874ms
Info 50   [00:28:46.991] Different program with same set of files
Info 51   [00:28:47.262] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 52   [00:28:47.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 56.99614900024608ms
Info 53   [00:28:47.319] Different program with same set of files
Info 54   [00:28:47.650] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 55   [00:28:47.693] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 43.024939000140876ms
Info 56   [00:28:47.693] Different program with same set of files
Info 57   [00:29:00.544] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 58   [00:29:00.641] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 96.94538900023326ms
Info 59   [00:29:00.641] Different program with same set of files
Info 60   [00:29:01.925] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 61   [00:29:02.029] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 103.74918699963018ms
Info 62   [00:29:02.029] Different program with same set of files
Info 63   [00:29:08.558] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 64   [00:29:08.630] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 71.04046799987555ms
Info 65   [00:29:08.630] Different program with same set of files
Info 66   [00:29:51.067] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 67   [00:29:51.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 129.58541900012642ms
Info 68   [00:29:51.196] Different program with same set of files
Info 69   [00:29:52.608] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 70   [00:29:52.697] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 89.1760240001604ms
Info 71   [00:29:52.697] Different program with same set of files
Info 72   [00:29:54.056] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 73   [00:29:54.133] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 76.2390800002031ms
Info 74   [00:29:54.133] Different program with same set of files
Info 75   [00:30:41.254] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 76   [00:30:41.365] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 110.13910900009796ms
Info 77   [00:30:41.365] Different program with same set of files
Info 78   [00:30:59.484] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 79   [00:30:59.597] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 113.00301899993792ms
Info 80   [00:30:59.597] Different program with same set of files
Info 81   [00:32:23.788] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 82   [00:32:23.896] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 107.89063599985093ms
Info 83   [00:32:23.896] Different program with same set of files
Info 84   [00:32:25.654] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 85   [00:32:25.729] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 74.4713880000636ms
Info 86   [00:32:25.729] Different program with same set of files
Info 87   [00:32:27.901] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 88   [00:32:27.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 56.625226999633014ms
Info 89   [00:32:27.958] Different program with same set of files
Info 90   [00:32:29.653] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 91   [00:32:29.729] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 75.3072950001806ms
Info 92   [00:32:29.729] Different program with same set of files
Info 93   [00:33:14.906] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 94   [00:33:14.981] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 74.31870600022376ms
Info 95   [00:33:14.981] Different program with same set of files
Info 96   [00:33:15.308] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 97   [00:33:15.382] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 74.58021800033748ms
Info 98   [00:33:15.382] Different program with same set of files
Info 99   [00:33:15.879] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 100  [00:33:15.956] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 77.69197499984875ms
Info 101  [00:33:15.957] Different program with same set of files
Info 102  [00:33:15.957] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 103  [00:33:16.018] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 60.33032800024375ms
Info 104  [00:33:16.018] Different program with same set of files
Info 105  [00:33:16.381] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 106  [00:33:16.426] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 44.18935300037265ms
Info 107  [00:33:16.426] Different program with same set of files
Info 108  [00:34:25.011] FileWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/package.json 1:: WatchInfo: /home/chris/WebDev/sites/webdev-profile/package.json 250 undefined WatchType: package.json file
Info 109  [00:34:25.012] Elapsed:: 1.1904659997671843ms FileWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/package.json 1:: WatchInfo: /home/chris/WebDev/sites/webdev-profile/package.json 250 undefined WatchType: package.json file
Info 110  [00:34:25.517] DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 111  [00:34:25.523] Elapsed:: 5.0371199999935925ms DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 112  [00:34:25.523] DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 113  [00:34:25.523] Elapsed:: 0.34749399963766336ms DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 114  [00:34:25.523] DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 115  [00:34:25.523] Elapsed:: 0.035558999981731176ms DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 116  [00:34:25.523] DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 117  [00:34:25.523] Elapsed:: 0.021796000190079212ms DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 118  [00:34:25.523] DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/autoImportProviderProject2* WatchType: Failed Lookup Locations
Info 119  [00:34:25.523] Elapsed:: 0.03308500023558736ms DirectoryWatcher:: Triggered with /home/chris/WebDev/sites/webdev-profile/node_modules :: WatchInfo: /home/chris/WebDev/sites/webdev-profile/node_modules 1 undefined Project: /dev/null/autoImportProviderProject2* WatchType: Failed Lookup Locations
Info 120  [00:34:26.774] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [00:34:26.966] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: SafeModules Elapsed: 191.22807099996135ms
Info 122  [00:34:26.966] Project '/dev/null/inferredProject1*' (Inferred)
Info 123  [00:34:26.966] 	Files (201)

Info 124  [00:34:26.966] -----------------------------------------------
Info 125  [00:34:26.966] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 126  [00:34:26.966] 	Files (394)

Info 127  [00:34:26.966] -----------------------------------------------
Info 128  [00:34:26.991] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 129  [00:34:27.336] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 345.009961000178ms
Info 130  [00:34:27.336] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 131  [00:34:27.336] 	Files (398)

Info 132  [00:34:27.336] -----------------------------------------------
Info 133  [00:34:27.337] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 134  [00:34:27.471] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 28 structureChanged: true structureIsReused:: SafeModules Elapsed: 133.37337000016123ms
Info 135  [00:34:27.471] Project '/dev/null/inferredProject2*' (Inferred)
Info 136  [00:34:27.471] 	Files (201)

Info 137  [00:34:27.471] -----------------------------------------------
Info 138  [00:34:27.471] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 139  [00:34:27.471] 	Files (394)

Info 140  [00:34:27.471] -----------------------------------------------
Info 141  [00:34:27.482] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 142  [00:34:27.700] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 217.79346699966118ms
Info 143  [00:34:27.700] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 144  [00:34:27.700] 	Files (398)

Info 145  [00:34:27.700] -----------------------------------------------
Info 146  [00:34:28.411] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 147  [00:34:31.213] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 29 structureChanged: true structureIsReused:: Not Elapsed: 2801.6763289999217ms
Info 148  [00:34:31.213] Project '/dev/null/inferredProject2*' (Inferred)
Info 149  [00:34:31.213] 	Files (1089)

Info 150  [00:34:31.213] -----------------------------------------------
Info 151  [00:34:31.213] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 152  [00:34:31.213] 	Files (398)

Info 153  [00:34:31.213] -----------------------------------------------
Info 154  [00:34:31.237] Before ensureProjectForOpenFiles:
Info 155  [00:34:31.238] After ensureProjectForOpenFiles:
Info 156  [00:34:31.238] got projects updated in background, updating diagnostics for /home/chris/WebDev/sites/webdev-profile/src/pages/index.js,/home/chris/WebDev/sites/webdev-profile/gatsby-config.js
Info 157  [01:57:21.900] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 158  [01:57:22.095] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true structureIsReused:: SafeModules Elapsed: 194.81660199910402ms
Info 159  [01:57:22.095] Project '/dev/null/inferredProject1*' (Inferred)
Info 160  [01:57:22.095] 	Files (200)

Info 161  [01:57:22.095] -----------------------------------------------
Info 162  [01:57:22.095] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 163  [01:57:22.095] 	Files (398)

Info 164  [01:57:22.095] -----------------------------------------------
Info 165  [01:58:03.819] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [01:58:03.994] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true structureIsReused:: SafeModules Elapsed: 175.40368300117552ms
Info 167  [01:58:03.995] Project '/dev/null/inferredProject1*' (Inferred)
Info 168  [01:58:03.995] 	Files (382)

Info 169  [01:58:03.995] -----------------------------------------------
Info 170  [01:58:03.995] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 171  [01:58:03.995] 	Files (398)

Info 172  [01:58:03.995] -----------------------------------------------
Info 173  [01:58:04.533] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [01:58:04.610] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 75.93365200050175ms
Info 175  [01:58:04.610] Different program with same set of files
Info 176  [01:58:07.629] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [01:58:07.742] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: true structureIsReused:: SafeModules Elapsed: 113.58761000074446ms
Info 178  [01:58:07.742] Different program with same set of files
Info 179  [01:58:17.602] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [01:58:17.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: true structureIsReused:: SafeModules Elapsed: 157.44212399981916ms
Info 181  [01:58:17.759] Different program with same set of files
Info 182  [01:58:19.068] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
